Date (plain text),Day,Description,Date
"February 17, 2015",Tuesday,Mahashivratri,2/17/2015
"March 6, 2015",Friday,Holi,3/6/2015
"April 2, 2015",Thursday,Mahavir Jayanti,4/2/2015
"April 3, 2015",Friday,Good Friday,4/3/2015
"April 14, 2015",Tuesday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2015
"May 1, 2015",Friday,Maharashtra Day,5/1/2015
"September 17, 2015",Thursday,Ganesh Chaturthi,9/17/2015
"September 25, 2015",Friday,Bakri Id,9/25/2015
"October 2, 2015",Friday,Mahatma Gandhi Jayanti,10/2/2015
"October 22, 2015",Thursday,Dussehra,10/22/2015
"November 11, 2015",Wednesday,Diwali Laxmi Pujan *,11/11/2015
"November 12, 2015",Thursday,Diwali Balipratipada,11/12/2015
"November 25, 2015",Wednesday,Gurunanak Jayanti,11/25/2015
"December 25, 2015",Friday,Christmas,12/25/2015
"March 28, 2015",Saturday,Ram Navami,3/28/2015
"July 18, 2015",Saturday,Id-Ul-Fitr (Ramzan Id),7/18/2015
"August 15, 2015",Saturday,Independence Day,8/15/2015
"October 24, 2015",Saturday,Muharram,10/24/2015
"January 26, 2016",Tuesday,Republic Day,1/26/2016
"March 7, 2016",Monday,Mahashivratri,3/7/2016
"March 24, 2016",Thursday,Holi,3/24/2016
"March 25, 2016",Friday,Good Friday,3/25/2016
"April 14, 2016",Thursday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2016
"April 15, 2016",Friday,Ram Navami,4/15/2016
"April 19, 2016",Tuesday,Mahavir Jayanti,4/19/2016
"July 6, 2016",Wednesday,Id-Ul-Fitr (Ramzan Id),7/6/2016
"August 15, 2016",Monday,Independence Day,8/15/2016
"September 5, 2016",Monday,Ganesh Chaturthi,9/5/2016
"September 13, 2016",Tuesday,Bakri Id,9/13/2016
"October 11, 2016",Tuesday,Dussehra,10/11/2016
"October 12, 2016",Wednesday,Muharram,10/12/2016
"October 31, 2016",Monday,Diwali,10/31/2016
"November 14, 2016",Monday,Gurunanak Jayanti,11/14/2016
"May 1, 2016",Sunday,Maharashtra Day,5/1/2016
"October 2, 2016",Sunday,Mahatma Gandhi Jayanti,10/2/2016
"October 30, 2016",Sunday,Diwali Laxmi Puja *,10/30/2016
"December 25, 2016",Sunday,Christmas,12/25/2016
"January 26, 2017",Thursday,Republic Day,1/26/2017
"February 24, 2017",Friday,Mahashivratri,2/24/2017
"March 13, 2017",Monday,Holi,3/13/2017
"April 4, 2017",Tuesday,Ram Navami,4/4/2017
"April 14, 2017",Friday,Good Friday,4/14/2017
"April 14, 2017",Friday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2017
"May 1, 2017",Monday,Maharashtra Day,5/1/2017
"June 26, 2017",Monday,Id-Ul-Fitr (Ramzan Id),6/26/2017
"August 15, 2017",Tuesday,Independence Day,8/15/2017
"August 25, 2017",Friday,Ganesh Chaturthi,8/25/2017
"October 2, 2017",Monday,Mahatama Gandhi Jayanti,10/2/2017
"October 19, 2017",Thursday,Diwali-Laxmi Pujan*,10/19/2017
"October 20, 2017",Friday,Diwali-Balipratipada,10/20/2017
"December 25, 2017",Monday,Christmas,12/25/2017
"April 9, 2017",Sunday,Mahavir Jayanti,4/9/2017
"September 2, 2017",Saturday,Bakri ID,9/2/2017
"September 30, 2017",Saturday,Dasera,9/30/2017
"October 1, 2017",Sunday,Moharram,10/1/2017
"November 4, 2017",Saturday,Gurunanak Jayanti,11/4/2017
"January 26, 2018",Friday,Republic Day,1/26/2018
"February 13, 2018",Tuesday,Mahashivratri,2/13/2018
"March 2, 2018",Friday,Holi,3/2/2018
"March 29, 2018",Thursday,Mahavir Jayanti,3/29/2018
"March 30, 2018",Friday,Good Friday,3/30/2018
"May 1, 2018",Tuesday,Maharashtra Day,5/1/2018
"August 15, 2018",Wednesday,Independence Day,8/15/2018
"August 22, 2018",Wednesday,Bakri ID,8/22/2018
"September 13, 2018",Thursday,Ganesh Chaturthi,9/13/2018
"September 20, 2018",Thursday,Moharram,9/20/2018
"October 2, 2018",Tuesday,Mahatama Gandhi Jayanti,10/2/2018
"October 18, 2018",Thursday,Dasera,10/18/2018
"November 7, 2018",Wednesday,Diwali-Laxmi Pujan*,11/7/2018
"November 8, 2018",Thursday,Diwali-Balipratipada,11/8/2018
"November 23, 2018",Friday,Gurunanak Jayanti,11/23/2018
"December 25, 2018",Tuesday,Christmas,12/25/2018
"March 4, 2019",Monday,Mahashivratri,3/4/2019
"March 21, 2019",Thursday,Holi,3/21/2019
"April 17, 2019",Wednesday,Mahavir Jayanti,4/17/2019
"April 29, 2019",Monday,General Elections Day – Mumbai,4/29/2019
"May 1, 2019",Wednesday,Maharashtra Day,5/1/2019
"June 5, 2019",Wednesday,Id-Ul-Fitr (Ramzan Id),6/5/2019
"August 12, 2019",Monday,Bakri Id,8/12/2019
"August 15, 2019",Thursday,Independence Day,8/15/2019
"September 2, 2019",Monday,Ganesh Chaturthi,9/2/2019
"September 10, 2019",Tuesday,Muharram,9/10/2019
"October 2, 2019",Wednesday,Mahatma Gandhi Jayanti,10/2/2019
"October 8, 2019",Tuesday,Dussehra,10/8/2019
"October 21, 2019",Monday,Maharashtra Assembly Elections,10/21/2019
"October 28, 2019",Monday,Diwali Balipratipada,10/28/2019
"November 12, 2019",Tuesday,Gurunanak Jayanti,11/12/2019
"December 25, 2019",Wednesday,Christmas,12/25/2019
"January 26, 2019",Saturday,Republic Day,1/26/2019
"April 13, 2019",Saturday,Ram Navami,4/13/2019
"April 14, 2019",Sunday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2019
"October 27, 2019",Sunday,Diwali * Laxmi Pujan,10/27/2019
"February 21, 2020",Friday,Mahashivratri,2/21/2020
"March 10, 2020",Tuesday,Holi,3/10/2020
"April 2, 2020",Thursday,Ram Navami,4/2/2020
"April 6, 2020",Monday,Mahavir Jayanti,4/6/2020
"April 10, 2020",Friday,Good Friday,4/10/2020
"April 14, 2020",Tuesday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2020
"May 1, 2020",Friday,Maharashtra Day,5/1/2020
"May 25, 2020",Monday,Id-Ul-Fitr (Ramzan Id),5/25/2020
"October 2, 2020",Friday,Mahatma Gandhi Jayanti,10/2/2020
"November 16, 2020",Monday,Diwali Balipratipada,11/16/2020
"November 30, 2020",Monday,Gurunanak Jayanti,11/30/2020
"December 25, 2020",Friday,Christmas,12/25/2020
"January 26, 2020",Sunday,Republic Day,1/26/2020
"August 1, 2020",Saturday,Bakri Id,8/1/2020
"August 15, 2020",Saturday,Independence Day,8/15/2020
"August 22, 2020",Saturday,Ganesh Chaturthi,8/22/2020
"August 30, 2020",Sunday,Muharram,8/30/2020
"October 25, 2020",Sunday,Dussehra,10/25/2020
"November 14, 2020",Saturday,Diwali * Laxmi Pujan,11/14/2020
"January 26, 2021",Tuesday,Republic Day,1/26/2021
"March 11, 2021",Thursday,Mahashivratri,3/11/2021
"March 29, 2021",Monday,Holi,3/29/2021
"April 2, 2021",Friday,Good Friday,4/2/2021
"April 14, 2021",Wednesday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2021
"April 21, 2021",Wednesday,Ram Navami,4/21/2021
"May 13, 2021",Thursday,Id-Ul-Fitr (Ramzan Id),5/13/2021
"July 21, 2021",Wednesday,Bakri Id,7/21/2021
"August 19, 2021",Thursday,Muharram,8/19/2021
"September 10, 2021",Friday,Ganesh Chaturthi,9/10/2021
"October 15, 2021",Friday,Dussehra,10/15/2021
"November 4, 2021",Thursday,Diwali* Laxmi Puja,11/4/2021
"November 5, 2021",Friday,Diwali Balipratipada,11/5/2021
"November 19, 2021",Friday,Guru Nanak Jayanti,11/19/2021
"April 25, 2021",Sunday,Mahavir Jayanti,4/25/2021
"May 1, 2021",Saturday,Maharashtra Day,5/1/2021
"August 15, 2021",Sunday,Independence Day,8/15/2021
"October 2, 2021",Saturday,Mahatma Gandhi Jayanti,10/2/2021
"December 25, 2021",Sunday,Christmas,12/25/2021
"January 26, 2022",Wednesday,Republic Day,1/26/2022
"March 1, 2022",Tuesday,Mahashivratri,3/1/2022
"March 18, 2022",Friday,Holi,3/18/2022
"April 14, 2022",Thursday,"Dr. Baba Saheb Ambedkar Jayanti/
Mahavir Jayanti",4/14/2022
"April 15, 2022",Friday,Good Friday,4/15/2022
"May 3, 2022",Tuesday,Id-Ul-Fitr (Ramzan ID),5/3/2022
"August 9, 2022",Tuesday,Moharram,8/9/2022
"August 15, 2022",Monday,Independence Day,8/15/2022
"August 31, 2022",Wednesday,Ganesh Chaturthi,8/31/2022
"October 5, 2022",Wednesday,Dussehra,10/5/2022
"October 24, 2022",Monday,Diwali-Laxmi Pujan*,10/24/2022
"October 26, 2022",Wednesday,Diwali-Balipratipada,10/26/2022
"November 8, 2022",Tuesday,Gurunanak Jayanti,11/8/2022
"February 19, 2022",Saturday,Chhatrapati Shivaji Maharaj Jayanti,2/19/2022
"April 2, 2022",Saturday,Gudhi Padwa,4/2/2022
"April 10, 2022",Sunday,Ram Navami,4/10/2022
"May 1, 2022",Sunday,Maharashtra Day,5/1/2022
"July 10, 2022",Sunday,Bakri Id,7/10/2022
"October 2, 2022",Sunday,Mahatma Gandhi Jayanti,10/2/2022
"December 25, 2022",Sunday,Christmas,12/25/2022
"January 26, 2023",Thursday,Republic Day,1/26/2023
"March 7, 2023",Tuesday,Holi,3/7/2023
"March 30, 2023",Thursday,Ram Navami,3/30/2023
"April 4, 2023",Tuesday,Mahavir Jayanti,4/4/2023
"April 7, 2023",Friday,Good Friday,4/7/2023
"April 14, 2023",Friday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2023
"April 22, 2023",Saturday,Id-ul-fitr (Ramzan Id),4/22/2023
"May 1, 2023",Monday,Maharashtra Day,5/1/2023
"June 28, 2023",Wednesday,Id-ul-adha (Bakri Id),6/28/2023
"August 15, 2023",Tuesday,Independence Day,8/15/2023
"September 19, 2023",Tuesday,Ganesh Chaturthi,9/19/2023
"October 2, 2023",Monday,Mahatma Gandhi Jayanti,10/2/2023
"October 24, 2023",Tuesday,Dussehra,10/24/2023
"November 14, 2023",Tuesday,Diwali Balipratipada,11/14/2023
"November 27, 2023",Monday,Gurunanak Jayanti,11/27/2023
"December 25, 2023",Monday,Christmas,12/25/2023
"February 18, 2023",Saturday,Mahashivratri,2/18/2023
"April 22, 2023",Saturday,Id-Ul-Fitr (Ramzan Id),4/22/2023
"July 29, 2023",Saturday,Muharram,7/29/2023
"November 12, 2023",Sunday,Diwali Laxmi-Pujan,11/12/2023
